,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
32,Brown,32,20,12,.625,-0.62,-3.29,7,7,13,3,7,9,2355,2204,,72.6,100.6,.377,.410,.549,50.0,51.9,10.3,11.0,.513,17.6,23.5,.270
33,Bryant,30,10,20,.333,-15.19,-7.66,7,11,8,6,2,13,2088,2314,,69.2,100.6,.368,.421,.529,47.3,45.0,7.6,7.5,.490,16.3,26.7,.262
34,Bucknell,33,21,12,.636,0.59,-2.93,13,5,12,3,7,8,2534,2418,,71.4,107.2,.339,.459,.566,49.8,59.9,7.3,8.9,.530,15.5,25.5,.254
35,Buffalo NCAA,36,32,4,.889,15.56,2.62,16,2,14,0,12,3,3037,2550,,74.5,112.8,.327,.436,.561,52.4,55.3,9.8,10.1,.535,13.8,31.8,.225
36,Butler,33,16,17,.485,9.22,8.10,7,11,12,4,2,10,2374,2337,,67.1,106.5,.252,.428,.548,48.3,50.4,8.7,5.7,.521,14.2,25.5,.186
37,Cal Poly,29,6,23,.207,-13.95,-3.54,2,14,4,8,1,14,1930,2183,,66.8,97.5,.264,.401,.500,46.8,42.6,7.4,8.9,.477,14.8,26.1,.171
38,Cal State Bakersfield,34,18,16,.529,-5.12,-2.63,7,9,9,4,7,10,2412,2412,,67.6,103.7,.296,.326,.505,53.3,42.7,9.4,10.4,.477,15.5,37.4,.199
39,Cal State Fullerton,34,16,18,.471,-3.29,-1.14,10,6,9,4,4,11,2437,2414,,70.3,100.1,.380,.308,.540,50.3,46.9,8.2,8.7,.503,16.6,23.9,.269
40,Cal State Northridge,34,13,21,.382,-6.54,-3.39,7,9,7,9,4,11,2601,2701,,72.1,105.0,.321,.308,.536,47.9,52.9,9.1,11.3,.516,14.5,27.7,.205
41,California Baptist,31,16,15,.516,-3.89,-4.12,7,9,8,7,8,6,2403,2241,,70.1,108.9,.310,.430,.563,52.1,41.5,6.7,7.0,.524,15.1,28.2,.244
42,UC-Davis,31,11,20,.355,-6.26,-1.50,7,9,7,6,3,12,2038,2128,,67.0,96.5,.308,.370,.531,46.5,51.0,9.3,7.0,.500,17.7,21.5,.218
43,UC-Irvine NCAA,37,31,6,.838,5.70,-2.30,15,1,12,2,13,2,2675,2353,,66.2,107.8,.296,.325,.543,54.8,48.5,8.5,10.9,.516,15.2,34.0,.208
44,UC-Riverside,33,10,23,.303,-11.12,-3.19,4,12,7,7,2,14,2153,2279,,64.3,101.1,.237,.416,.541,50.5,53.7,7.7,5.4,.521,17.6,26.9,.162
