,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
135,Purdue-Fort Wayne,33,18,15,.545,-3.47,-3.60,9,7,11,5,6,9,2728,2556,,73.4,111.7,.271,.461,.587,48.9,53.0,10.1,12.3,.569,14.5,24.0,.187
136,IUPUI,33,16,17,.485,-2.72,-3.04,8,10,11,4,3,13,2507,2429,,71.6,106.2,.355,.353,.545,53.2,52.9,9.7,8.8,.512,16.7,34.3,.249
137,Jackson State,32,13,19,.406,-14.60,-9.33,10,8,9,4,3,14,1974,2107,,67.4,91.1,.342,.312,.479,50.4,50.1,9.6,11.9,.448,17.5,28.5,.217
138,Jacksonville State,33,24,9,.727,1.59,-5.47,15,3,11,1,10,7,2574,2283,,71.3,107.4,.305,.307,.545,54.3,47.3,10.2,12.2,.510,15.7,33.4,.227
139,Jacksonville,32,12,20,.375,-8.27,-4.74,5,11,5,8,6,11,2385,2402,,73.3,101.3,.298,.330,.535,50.5,51.4,9.0,13.0,.510,17.2,28.4,.202
140,James Madison,33,14,19,.424,-8.52,-4.07,6,12,8,6,4,11,2322,2409,,66.0,104.3,.327,.360,.541,50.6,49.1,9.5,8.3,.507,16.4,30.8,.235
141,Kansas State NCAA,34,25,9,.735,15.39,9.18,14,4,13,2,7,5,2236,2025,,64.9,101.3,.306,.384,.520,50.9,57.6,11.6,7.7,.493,15.2,28.4,.204
142,Kansas NCAA,36,26,10,.722,18.35,12.79,12,6,16,0,3,8,2725,2525,,70.3,106.5,.325,.349,.555,52.1,48.3,9.5,10.9,.526,16.1,29.9,.229
143,Kennesaw State,32,6,26,.188,-16.17,-1.04,3,13,6,8,0,15,2030,2455,,70.9,89.1,.303,.225,.456,48.7,48.8,8.1,8.7,.416,16.4,29.4,.211
144,Kent State,33,22,11,.667,1.26,0.61,11,7,14,3,8,7,2481,2417,,69.4,107.5,.315,.381,.531,51.0,49.0,9.8,10.2,.496,13.9,33.7,.228
145,Kentucky NCAA,37,30,7,.811,21.43,10.29,15,3,17,1,8,2,2806,2394,,67.3,111.9,.419,.296,.571,56.9,51.2,8.8,13.4,.530,15.9,36.4,.310
146,La Salle,31,10,21,.323,-3.61,1.29,8,10,5,9,3,8,2091,2243,,69.5,97.0,.285,.435,.512,48.9,54.4,10.7,8.6,.472,17.6,28.8,.219
147,Lafayette,30,10,20,.333,-11.17,-4.93,7,11,4,11,6,9,2209,2349,,70.4,102.8,.245,.412,.554,48.3,52.2,7.4,10.8,.527,16.8,22.6,.182
148,Lamar,33,20,13,.606,-5.94,-7.22,12,6,13,2,6,10,2597,2322,,71.3,108.7,.416,.336,.549,54.9,53.3,11.8,8.4,.514,16.7,37.2,.286
149,Lehigh,31,20,11,.645,-2.34,-4.46,12,6,11,3,9,8,2479,2413,,72.5,109.4,.349,.383,.599,50.5,55.0,7.5,6.3,.563,16.8,23.5,.270
150,Liberty NCAA,36,29,7,.806,5.27,-3.88,14,2,16,1,11,3,2654,2209,,65.4,112.8,.265,.442,.596,51.5,55.2,9.5,8.1,.569,15.1,25.1,.205
151,Lipscomb,37,29,8,.784,9.21,-1.20,14,2,14,3,14,4,3076,2597,,74.9,111.0,.359,.393,.589,52.9,61.1,9.7,8.0,.554,15.8,26.2,.272
152,Cal State Long Beach,34,15,19,.441,-4.57,-0.44,8,8,9,5,4,12,2545,2584,,73.3,101.0,.409,.310,.525,48.7,45.5,8.7,7.6,.485,16.5,29.1,.283
153,Long Island University,32,16,16,.500,-8.99,-9.08,9,9,8,5,7,9,2373,2337,,72.9,101.4,.342,.432,.543,50.1,52.3,9.3,12.0,.511,17.7,27.8,.240
154,Longwood,34,16,18,.471,-8.43,-6.62,5,11,10,5,5,12,2407,2408,,68.9,101.6,.341,.501,.552,50.7,49.9,8.9,7.2,.517,18.0,24.6,.250
155,Louisiana,32,19,13,.594,-2.07,-1.51,10,8,10,4,7,7,2612,2575,,74.8,108.2,.350,.405,.553,48.5,54.1,9.4,10.0,.515,15.2,29.9,.260
156,Louisiana-Monroe,35,19,16,.543,0.81,-1.96,9,9,14,3,4,12,2773,2637,,69.2,112.5,.363,.439,.583,49.4,54.0,8.4,6.1,.541,14.3,27.2,.284
157,Louisiana State NCAA,35,28,7,.800,16.50,9.16,16,2,15,2,9,1,2815,2558,,70.6,111.1,.371,.342,.553,53.0,45.7,12.2,11.8,.512,15.1,36.2,.279
158,Louisiana Tech,33,20,13,.606,0.95,-2.31,9,9,15,1,4,10,2386,2235,,68.0,105.2,.358,.392,.529,50.6,52.4,8.4,10.0,.501,14.6,30.2,.235
159,Louisville NCAA,34,20,14,.588,17.28,11.04,10,8,14,4,5,6,2536,2324,,68.4,107.4,.349,.437,.553,52.4,53.6,6.3,7.9,.509,15.2,29.0,.271
160,Loyola (IL),34,20,14,.588,3.99,-0.16,12,6,13,4,5,7,2231,2066,,63.7,103.0,.323,.334,.573,50.5,56.3,10.2,7.3,.554,17.3,19.8,.215
161,Loyola Marymount,34,22,12,.647,2.93,0.90,8,8,12,4,8,7,2278,2125,,65.2,102.8,.358,.283,.541,52.2,56.3,11.3,10.5,.499,16.8,29.7,.267
162,Loyola (MD),32,11,21,.344,-9.13,-4.60,7,11,7,5,3,16,2332,2477,,70.4,102.4,.336,.336,.548,48.3,53.2,12.2,6.2,.516,17.3,27.3,.239
163,Maine,32,5,27,.156,-15.11,-4.21,3,13,3,9,2,18,1988,2271,,64.6,94.0,.262,.374,.512,48.8,63.1,11.3,10.8,.490,19.1,26.2,.170
164,Manhattan,32,11,21,.344,-12.89,-7.32,8,10,4,9,4,11,1833,2011,,62.8,90.9,.332,.411,.492,49.0,55.3,11.0,8.9,.473,20.7,29.5,.194
165,Marist,31,12,19,.387,-9.49,-7.53,7,11,4,7,6,11,2086,2147,,65.6,101.8,.322,.410,.549,48.8,51.0,8.4,6.2,.523,16.9,24.2,.220
166,Marquette NCAA,34,24,10,.706,14.78,6.96,12,6,16,3,6,4,2629,2363,,70.7,108.2,.351,.417,.572,53.0,51.1,6.9,11.2,.535,16.9,29.1,.266
167,Marshall,37,23,14,.622,-0.64,-0.61,11,7,16,3,6,10,2978,2979,,76.3,104.5,.305,.447,.549,44.8,50.3,11.7,11.2,.519,14.3,22.2,.221
168,Maryland-Baltimore County,34,21,13,.618,-5.85,-5.85,11,5,13,4,6,8,2296,2177,,65.8,99.7,.303,.426,.530,50.3,55.2,11.6,9.2,.502,16.5,25.5,.209
169,Maryland-Eastern Shore,32,7,25,.219,-24.21,-7.91,5,11,5,7,2,17,1833,2291,,65.5,87.1,.287,.358,.473,45.4,54.2,8.8,7.3,.441,18.2,23.5,.193
170,Maryland NCAA,34,23,11,.676,16.01,10.09,13,7,15,3,6,5,2429,2228,,66.6,107.3,.328,.370,.550,56.0,52.1,6.5,13.4,.514,16.5,34.0,.244
171,Massachusetts-Lowell,32,15,17,.469,-8.28,-6.95,7,9,8,5,5,12,2456,2420,,71.9,106.0,.345,.389,.570,49.8,57.1,7.8,6.8,.539,17.2,27.2,.248
172,Massachusetts,32,11,21,.344,-3.02,-0.18,4,14,9,8,1,11,2263,2354,,68.4,102.6,.313,.400,.538,52.0,57.9,7.0,8.0,.511,17.5,31.3,.214
173,McNeese State,31,9,22,.290,-14.41,-6.15,5,13,7,8,2,14,2149,2303,,68.4,100.9,.386,.327,.542,50.6,56.4,6.9,8.8,.504,18.5,30.4,.275
174,Memphis,36,22,14,.611,10.70,5.09,11,7,17,2,3,8,2882,2680,,75.5,105.3,.373,.361,.547,51.2,54.6,10.5,11.0,.511,17.0,32.9,.266
175,Mercer,31,11,20,.355,-2.86,-0.24,6,12,9,6,2,12,2248,2246,,69.1,104.5,.371,.380,.547,49.2,49.9,9.6,8.5,.516,16.5,29.1,.255
176,Miami (FL),32,14,18,.438,9.39,8.70,5,13,11,5,0,10,2297,2275,,68.5,104.3,.308,.435,.541,47.7,51.3,9.6,8.7,.507,14.9,25.8,.226
177,Miami (OH),32,15,17,.469,0.77,2.31,7,11,10,5,4,10,2267,2233,,68.8,102.6,.339,.450,.529,52.0,44.9,8.8,8.1,.494,16.1,29.8,.240
178,Michigan State NCAA,39,32,7,.821,24.93,12.34,16,4,15,1,8,4,3025,2534,,68.1,113.1,.336,.378,.585,56.1,66.8,7.5,13.7,.552,16.0,33.2,.253
179,Michigan NCAA,37,30,7,.811,21.82,10.55,15,5,17,1,7,4,2575,2158,,65.4,106.5,.275,.399,.542,50.7,54.4,9.3,10.3,.516,12.3,23.9,.193
180,Middle Tennessee,32,11,21,.344,-6.09,1.44,8,10,9,5,2,11,2141,2313,,70.3,95.2,.297,.350,.505,52.3,45.2,8.5,7.6,.476,19.5,32.1,.201
181,Milwaukee,31,9,22,.290,-8.90,-2.50,4,14,6,8,3,12,2146,2315,,68.9,100.0,.279,.380,.521,49.3,46.5,6.8,9.4,.485,15.6,26.0,.208
182,Minnesota NCAA,36,22,14,.611,12.52,11.27,9,11,14,3,2,9,2543,2498,,67.9,103.7,.416,.296,.521,51.2,59.0,7.1,10.1,.482,14.6,30.9,.283
183,Mississippi State NCAA,34,23,11,.676,15.96,9.07,10,8,14,3,5,5,2628,2394,,68.6,111.9,.326,.391,.574,52.8,51.4,11.7,14.0,.546,16.5,34.6,.234
184,Mississippi Valley State,32,6,26,.188,-22.47,-6.99,4,14,6,6,0,20,2058,2498,,70.6,90.7,.336,.288,.461,47.6,49.5,7.8,5.8,.424,15.7,28.9,.222
185,Mississippi NCAA,33,20,13,.606,12.32,8.13,10,8,11,5,6,5,2485,2347,,69.2,108.4,.309,.399,.568,51.1,54.2,10.2,9.6,.531,16.0,30.1,.242
186,Missouri-Kansas City,32,11,21,.344,-6.61,-1.55,6,10,8,5,3,13,2220,2341,,68.6,100.3,.329,.406,.535,45.4,45.3,10.5,8.0,.504,15.9,23.7,.230
187,Missouri State,32,16,16,.500,-1.20,-1.03,10,8,11,4,5,9,2206,2157,,66.5,103.2,.366,.379,.548,49.7,45.7,10.3,12.1,.517,16.1,26.1,.253
188,Missouri,32,15,17,.469,8.60,9.16,5,13,9,7,2,8,2150,2168,,66.1,100.9,.298,.412,.534,52.8,46.7,7.0,5.2,.505,18.2,31.8,.210
189,Monmouth,35,14,21,.400,-10.66,-4.83,10,8,6,6,5,11,2286,2490,,68.5,94.1,.404,.295,.501,50.0,47.7,9.8,11.1,.458,18.0,29.1,.277
190,Montana State,32,15,17,.469,-7.91,-5.81,11,9,9,4,4,12,2502,2552,,71.6,109.2,.346,.435,.571,49.6,57.2,7.4,4.3,.537,15.2,26.1,.255
191,Montana NCAA,35,26,9,.743,1.50,-5.05,16,4,12,2,9,5,2665,2397,,68.6,110.6,.313,.385,.585,51.8,52.3,9.5,8.8,.564,15.4,26.6,.216
192,Morehead State,33,13,20,.394,-7.73,-1.76,8,10,7,7,4,11,2431,2543,,70.6,103.2,.328,.382,.528,48.8,51.5,7.9,10.8,.494,14.9,29.0,.231
193,Morgan State,30,9,21,.300,-15.98,-10.70,4,12,6,7,2,13,2161,2304,,73.9,96.7,.348,.271,.483,47.2,47.8,10.3,4.4,.439,15.2,31.8,.248
194,Mount St. Mary's,31,9,22,.290,-14.57,-6.02,6,12,4,9,5,13,2092,2286,,69.5,97.1,.338,.412,.513,47.4,48.3,6.8,9.7,.481,16.8,26.4,.230
195,Murray State NCAA,33,28,5,.848,8.96,-3.11,16,2,15,1,10,3,2727,2255,,71.8,115.1,.335,.364,.586,52.1,59.8,10.5,11.5,.557,14.7,31.3,.246
196,Navy,31,12,19,.387,-10.09,-4.00,8,10,8,6,4,13,2061,2250,,68.3,97.3,.305,.368,.504,52.4,54.5,7.9,5.7,.468,17.6,31.5,.218
197,Omaha,32,21,11,.656,-2.32,-3.39,13,3,10,2,9,8,2523,2454,,70.0,111.7,.237,.360,.568,49.2,43.1,8.0,5.7,.546,12.0,24.9,.171
198,Nebraska,36,19,17,.528,14.85,11.31,6,14,13,5,2,10,2586,2421,,67.2,106.5,.325,.375,.525,48.5,50.9,10.7,11.1,.493,12.3,28.6,.227
199,Nevada-Las Vegas,31,17,14,.548,1.58,0.48,11,7,10,6,6,5,2276,2242,,69.0,105.5,.349,.402,.527,53.3,50.7,8.5,9.6,.495,15.7,35.1,.239
200,Nevada NCAA,34,29,5,.853,16.00,2.68,15,3,15,0,9,3,2723,2270,,70.7,113.2,.408,.428,.570,51.8,53.9,8.8,11.2,.537,12.9,27.1,.289
201,New Hampshire,29,5,24,.172,-18.66,-6.03,3,13,4,10,1,14,1742,1990,,67.1,89.5,.232,.475,.474,47.7,52.2,6.0,5.5,.455,16.2,23.2,.142
202,New Mexico State NCAA,35,30,5,.857,10.05,-2.38,15,1,16,1,10,1,2734,2259,,68.3,113.9,.341,.467,.562,57.2,53.4,8.2,8.1,.538,14.7,36.7,.231
203,New Mexico,32,14,18,.438,-0.55,1.61,7,11,9,7,4,9,2443,2454,,74.5,102.5,.387,.438,.536,50.2,54.8,9.2,8.4,.498,16.6,28.7,.271
204,New Orleans,33,19,14,.576,-8.88,-6.47,12,6,12,4,5,9,2384,2325,,71.1,99.7,.351,.292,.526,49.7,57.7,11.9,10.9,.493,18.6,32.9,.243
205,Niagara,32,13,19,.406,-11.33,-7.77,6,12,8,8,5,10,2318,2432,,70.4,102.6,.333,.391,.530,49.8,43.1,5.7,10.4,.492,15.1,26.6,.245
206,Nicholls State,31,14,17,.452,-11.87,-6.98,7,11,9,4,3,13,2260,2302,,71.2,101.6,.218,.461,.535,45.7,53.0,9.3,10.4,.506,15.4,24.3,.168
207,NJIT,35,22,13,.629,-3.63,-4.74,8,8,11,5,11,8,2472,2401,,69.2,101.4,.383,.373,.547,48.6,44.3,9.1,7.4,.508,15.7,21.3,.276
208,Norfolk State,36,22,14,.611,-8.04,-8.74,14,2,11,2,9,8,2652,2503,,71.8,101.3,.386,.370,.539,50.2,50.8,8.4,13.0,.501,17.5,28.1,.274
209,North Alabama,32,10,22,.313,-11.00,-1.69,7,9,8,4,2,18,2145,2358,,71.1,94.0,.323,.421,.486,49.4,44.9,9.2,6.5,.451,16.5,27.5,.218
210,North Carolina-Asheville,31,4,27,.129,-19.81,-2.35,2,14,3,10,1,15,1857,2313,,64.2,92.9,.269,.422,.506,46.5,50.5,9.8,9.0,.471,19.9,29.1,.199
211,North Carolina A&T,32,19,13,.594,-11.24,-9.88,13,3,11,2,7,10,2241,2209,,67.9,102.3,.305,.361,.545,47.8,54.8,9.8,9.2,.522,16.9,27.4,.203
212,North Carolina Central NCAA,34,18,16,.529,-11.53,-11.24,10,6,10,2,4,12,2429,2266,,68.5,104.0,.334,.361,.545,54.8,60.2,8.9,7.5,.512,18.8,35.1,.239
213,North Carolina-Greensboro,36,29,7,.806,4.08,-0.90,15,3,15,2,11,4,2738,2443,,69.9,108.5,.305,.375,.548,50.7,45.4,12.5,11.5,.521,14.5,31.4,.212
214,North Carolina State,36,24,12,.667,14.94,6.22,9,9,17,5,4,6,2882,2568,,71.8,110.7,.285,.358,.547,53.0,50.8,9.9,10.3,.520,14.6,35.8,.202
215,North Carolina-Wilmington,33,10,23,.303,-8.10,-2.04,5,13,5,9,2,12,2515,2670,,70.2,107.3,.339,.375,.545,52.4,56.3,6.4,6.0,.509,15.9,32.2,.248
216,North Carolina NCAA,36,29,7,.806,23.94,11.35,16,2,14,2,11,1,3089,2636,,75.9,112.7,.302,.358,.560,56.6,60.6,9.2,9.5,.529,14.6,34.8,.224
217,North Dakota State NCAA,35,19,16,.543,-4.01,-2.07,9,7,10,3,4,9,2556,2541,,66.8,108.5,.318,.472,.576,48.7,46.0,6.8,6.6,.540,14.2,20.6,.247
218,North Dakota,30,12,18,.400,-8.78,-3.55,6,10,8,6,4,11,2220,2196,,71.5,103.5,.272,.365,.555,48.9,48.4,8.0,7.3,.532,16.0,22.6,.189
219,North Florida,33,16,17,.485,-3.47,-0.70,9,7,10,3,5,13,2485,2531,,74.0,101.3,.268,.445,.547,49.8,57.6,8.6,10.8,.524,19.1,30.3,.185
220,North Texas,33,21,12,.636,-0.25,-3.48,8,10,12,4,6,7,2302,2077,,67.5,103.0,.279,.439,.532,53.2,51.5,9.4,7.9,.509,17.0,31.5,.186
221,Northeastern NCAA,34,23,11,.676,3.95,-0.70,14,4,11,2,8,6,2564,2406,,66.3,111.7,.343,.464,.597,49.7,54.5,9.2,6.0,.565,15.1,22.5,.258
222,Northern Arizona,31,10,21,.323,-10.75,-6.23,8,12,5,7,5,13,2262,2402,,70.0,103.4,.338,.412,.536,48.7,48.5,9.0,6.3,.503,15.0,25.7,.238
223,Northern Colorado,32,21,11,.656,-3.92,-6.76,15,5,10,3,11,5,2450,2229,,68.7,110.1,.345,.462,.573,52.1,49.7,7.9,8.0,.546,15.7,28.6,.242
224,Northern Illinois,34,17,17,.500,2.58,1.11,8,10,10,6,5,9,2506,2413,,68.4,106.5,.272,.322,.556,50.9,39.8,8.0,7.2,.529,15.2,26.6,.199
225,Northern Iowa,34,16,18,.471,-1.54,0.62,9,9,9,5,3,9,2215,2230,,65.8,99.0,.291,.429,.527,50.0,48.1,7.4,6.7,.491,15.8,23.1,.217
226,Northern Kentucky NCAA,35,26,9,.743,4.67,-2.39,13,5,17,1,7,7,2747,2410,,70.0,111.3,.354,.412,.574,53.2,60.5,8.8,11.5,.553,15.6,30.6,.236
227,Northwestern State,31,11,20,.355,-17.06,-5.99,6,12,8,7,3,13,2051,2280,,70.7,92.8,.337,.361,.494,47.8,46.9,8.7,12.1,.458,19.3,29.9,.230
228,Northwestern,32,13,19,.406,9.97,9.16,4,16,10,8,1,9,2108,2082,,66.8,97.8,.302,.407,.505,48.4,61.4,8.2,11.1,.466,14.3,24.3,.222
229,Notre Dame,33,14,19,.424,7.97,8.28,3,15,11,8,1,9,2266,2276,,66.4,103.3,.301,.437,.502,48.4,54.5,8.2,11.7,.462,11.9,29.0,.224
230,Oakland,33,16,17,.485,-2.27,-1.48,11,7,10,6,6,10,2534,2515,,69.9,109.4,.357,.439,.583,47.4,67.1,8.2,7.8,.549,16.4,25.2,.265
231,Ohio State NCAA,35,20,15,.571,13.89,11.00,8,12,12,6,4,7,2419,2318,,66.7,103.2,.337,.401,.540,50.9,58.9,8.8,7.0,.503,16.4,27.6,.247
232,Ohio,31,14,17,.452,-1.84,3.16,6,12,11,5,3,10,2174,2288,,71.5,96.9,.328,.344,.512,50.8,56.2,8.9,10.1,.488,17.4,29.0,.207
233,Oklahoma State,32,12,20,.375,8.09,11.53,5,13,8,7,2,10,2178,2288,,67.1,101.0,.306,.419,.529,48.6,55.5,8.5,13.1,.501,15.8,26.4,.210
234,Oklahoma NCAA,34,20,14,.588,15.30,12.21,7,11,11,4,5,7,2423,2318,,69.3,102.5,.313,.331,.534,50.2,48.7,8.6,8.3,.504,15.0,25.6,.218
235,Old Dominion NCAA,35,26,9,.743,3.74,-1.18,13,5,14,2,8,4,2300,2128,,65.6,100.2,.289,.373,.499,53.2,53.3,8.6,14.3,.471,15.0,31.8,.192
236,Oral Roberts,32,11,21,.344,-9.34,-1.91,7,9,7,6,3,13,2314,2483,,69.1,104.2,.263,.392,.549,52.1,50.8,6.8,9.4,.527,17.5,30.3,.181
237,Oregon State,31,18,13,.581,7.84,4.29,10,8,10,5,6,5,2275,2165,,67.2,108.3,.368,.366,.560,51.7,58.1,8.8,14.9,.522,15.9,30.6,.273
238,Oregon NCAA,38,25,13,.658,13.95,6.13,10,8,13,4,5,7,2661,2364,,65.5,106.2,.294,.395,.549,51.1,52.3,11.6,14.6,.520,15.4,29.1,.212
239,Pacific,32,14,18,.438,-2.46,1.97,4,12,9,7,5,10,2138,2241,,66.7,99.4,.415,.337,.531,51.1,45.8,9.3,5.0,.481,17.4,27.0,.309
240,Penn State,32,14,18,.438,12.55,11.51,7,13,9,6,3,9,2229,2196,,68.2,101.0,.323,.365,.509,51.6,49.2,11.1,10.4,.475,15.4,31.6,.224
241,Pennsylvania,31,19,12,.613,2.04,-0.76,7,7,10,4,8,5,2250,2117,,69.1,102.9,.282,.444,.548,49.8,56.6,9.6,6.1,.531,16.1,24.7,.180
242,Pepperdine,34,16,18,.471,0.90,0.63,6,10,9,5,2,11,2572,2529,,70.7,106.3,.357,.420,.564,47.4,55.4,9.5,8.2,.524,15.9,24.9,.271
243,Pittsburgh,33,14,19,.424,7.88,6.69,3,15,11,7,0,11,2306,2267,,68.6,101.1,.423,.369,.521,50.0,50.3,10.0,11.1,.479,16.8,32.1,.295
244,Portland State,32,16,16,.500,-8.95,-5.78,11,9,12,4,3,10,2475,2404,,72.2,106.3,.371,.381,.522,54.7,50.7,11.3,11.5,.483,15.9,38.8,.260
245,Portland,32,7,25,.219,-10.80,0.51,0,16,6,11,1,12,2078,2389,,68.4,94.2,.391,.389,.513,46.3,52.2,7.9,11.1,.477,17.3,21.1,.262
246,Prairie View NCAA,35,22,13,.629,-7.29,-9.17,17,1,11,0,9,12,2627,2547,,72.5,103.5,.425,.341,.530,46.7,49.3,12.2,4.6,.493,15.2,29.8,.289
247,Presbyterian,36,20,16,.556,-3.56,-5.35,9,7,12,3,8,12,2817,2610,,69.6,112.0,.313,.481,.570,49.4,58.5,8.5,5.8,.541,12.7,25.3,.228
248,Princeton,28,16,12,.571,-3.43,-0.89,8,6,7,5,8,6,1948,1951,,69.8,98.4,.301,.408,.511,50.4,43.1,8.5,6.9,.473,15.7,26.3,.223
249,Providence,34,18,16,.529,8.29,6.71,7,11,11,7,5,6,2428,2374,,68.8,101.9,.391,.350,.519,51.1,58.8,10.6,11.3,.480,16.0,31.7,.270
250,Purdue NCAA,36,26,10,.722,21.40,11.99,16,4,15,0,6,6,2760,2421,,66.1,114.4,.299,.455,.563,53.7,53.6,9.1,12.6,.536,13.5,33.8,.215
251,Quinnipiac,31,16,15,.516,-6.78,-8.03,11,7,7,7,9,6,2294,2255,,67.6,106.9,.373,.534,.563,50.8,53.2,7.4,5.2,.528,16.9,29.2,.271
252,Radford,33,22,11,.667,1.28,-1.95,12,4,11,3,9,7,2440,2247,,66.5,110.4,.266,.388,.559,52.7,52.3,8.9,10.1,.534,14.1,29.9,.190
253,Rhode Island,33,18,15,.545,2.83,1.19,9,9,9,5,5,7,2293,2239,,68.2,100.8,.368,.321,.510,51.2,48.8,10.3,11.4,.474,15.3,31.2,.250
254,Rice,32,13,19,.406,-6.56,-2.06,8,10,9,7,4,11,2367,2481,,71.8,101.1,.390,.427,.535,51.2,53.5,7.3,8.6,.500,16.5,26.5,.268
255,Richmond,33,13,20,.394,-1.37,-0.79,6,12,7,10,4,7,2314,2333,,66.6,105.3,.307,.402,.561,44.9,61.1,11.3,8.8,.541,14.0,18.7,.203
256,Rider,31,16,15,.516,-4.96,-6.51,11,7,9,3,6,10,2381,2333,,74.1,103.2,.399,.344,.529,50.4,53.1,12.2,10.1,.506,15.6,30.3,.246
257,Robert Morris,35,18,17,.514,-9.41,-7.62,11,7,13,4,5,13,2448,2403,,68.2,101.1,.320,.396,.534,50.5,56.6,10.6,8.1,.503,18.1,30.4,.224
258,Rutgers,31,14,17,.452,8.89,9.76,7,13,10,7,4,9,2105,2132,,68.1,99.0,.317,.332,.497,52.8,50.6,9.4,11.3,.470,16.1,33.4,.202
259,Sacramento State,31,15,16,.484,-8.78,-6.78,8,12,9,5,4,10,2197,2155,,69.4,101.2,.329,.293,.528,50.0,53.5,11.0,10.0,.496,16.3,28.3,.228
260,Sacred Heart,32,15,17,.469,-7.88,-8.11,11,7,10,3,4,13,2558,2509,,74.0,107.6,.375,.354,.564,53.1,53.2,7.2,10.8,.523,17.0,31.3,.283
261,Saint Francis (PA),33,18,15,.545,-8.74,-6.16,12,6,12,4,6,11,2517,2510,,70.8,107.7,.343,.356,.532,52.0,46.7,9.5,7.9,.497,14.5,34.2,.242
262,Saint Joseph's,33,14,19,.424,-0.43,1.66,6,12,10,5,2,11,2328,2397,,68.8,102.2,.317,.447,.521,48.3,50.1,8.2,10.1,.480,12.0,21.5,.238
263,Saint Louis NCAA,36,23,13,.639,5.06,2.23,10,8,15,2,4,8,2399,2297,,67.0,99.4,.394,.329,.492,54.5,53.8,10.5,11.9,.467,16.0,35.7,.236
264,Saint Mary's (CA) NCAA,34,22,12,.647,12.58,4.40,11,5,14,3,5,5,2463,2185,,64.3,112.2,.291,.352,.568,54.4,37.9,9.2,6.9,.538,14.1,30.8,.216
265,Saint Peter's,32,10,22,.313,-12.15,-6.40,6,12,7,7,2,14,2012,2196,,64.3,95.9,.348,.346,.527,50.9,42.6,8.2,17.7,.487,20.4,29.2,.253
266,Sam Houston State,33,21,12,.636,-3.17,-5.84,16,2,12,2,8,9,2476,2307,,68.6,107.3,.258,.418,.549,51.3,62.4,10.5,8.9,.519,15.5,31.0,.194
267,Samford,33,17,16,.515,0.69,-2.03,6,12,11,6,5,9,2583,2487,,71.2,107.1,.341,.352,.570,50.3,50.1,9.9,10.9,.537,17.0,28.1,.250
268,San Diego State,34,21,13,.618,5.29,2.47,11,7,14,3,4,7,2437,2291,,68.9,104.1,.350,.372,.539,51.2,57.6,8.4,10.1,.503,15.8,29.4,.251
269,San Diego,36,21,15,.583,6.12,3.61,7,9,12,4,5,9,2591,2455,,68.0,104.4,.320,.404,.562,51.9,56.5,8.2,8.4,.527,16.8,24.7,.239
270,San Francisco,31,21,10,.677,8.56,1.13,9,7,13,3,6,5,2358,2101,,67.3,112.1,.307,.393,.556,52.2,50.8,8.9,8.9,.536,13.1,30.8,.201
271,San Jose State,31,4,27,.129,-16.37,0.59,1,17,4,11,0,12,2042,2534,,71.3,91.7,.351,.363,.496,49.7,59.3,5.9,5.1,.463,19.0,27.9,.230
272,Santa Clara,31,16,15,.516,-1.91,0.92,8,8,11,6,4,6,2115,2172,,67.4,100.0,.343,.401,.550,49.2,56.6,6.9,9.5,.517,18.4,24.3,.246
273,Savannah State,31,11,20,.355,-20.51,-9.04,8,8,6,5,4,14,2360,2694,,78.1,97.0,.255,.576,.506,46.2,56.0,9.6,7.9,.481,17.0,28.2,.173
274,Seattle,33,18,15,.545,-1.47,-3.85,6,10,12,6,4,8,2420,2283,,69.7,104.4,.343,.330,.535,52.3,45.3,6.1,9.3,.499,15.1,29.5,.246
275,Seton Hall NCAA,34,20,14,.588,10.25,8.34,9,9,11,4,3,8,2508,2443,,70.1,104.1,.345,.367,.533,50.0,51.7,9.8,11.2,.499,15.2,29.6,.243
276,Siena,33,17,16,.515,-7.90,-6.47,11,7,7,7,8,7,2131,2178,,61.5,103.1,.247,.477,.536,46.8,53.8,9.2,8.3,.515,13.9,23.2,.168
277,South Alabama,34,17,17,.500,-4.46,-2.71,8,10,13,6,3,10,2478,2465,,68.9,104.6,.355,.404,.563,47.6,54.3,8.5,11.5,.536,17.2,25.6,.244
278,South Carolina State,34,8,26,.235,-16.86,-8.30,5,11,5,6,2,19,2388,2593,,69.2,100.3,.408,.308,.529,50.6,47.6,7.0,5.4,.480,17.9,32.2,.303
279,South Carolina Upstate,32,6,26,.188,-15.30,-4.27,1,16,5,9,1,15,2169,2395,,69.4,96.9,.263,.436,.515,46.7,56.0,9.2,8.1,.486,17.3,26.2,.187
280,South Carolina,32,16,16,.500,8.34,9.63,11,7,11,6,4,8,2327,2316,,71.2,101.7,.364,.347,.520,49.9,51.2,8.8,12.7,.486,16.2,32.0,.248
