47,Campbell,33,20,13,.606,-3.62,-4.39,12,4,12,4,5,8,2495,2328,,1325,867,1906,.455,313,912,.343,448,590,.759,266,1050,482,218,104,337,522
48,Canisius,32,15,17,.469,-8.79,-4.85,11,7,5,8,9,5,2250,2376,,1295,798,1834,.435,256,791,.324,398,575,.692,300,1026,466,204,108,412,627
49,Central Arkansas,33,14,19,.424,-11.37,-4.81,8,10,8,5,5,13,2383,2498,,1330,810,1903,.426,276,784,.352,487,667,.730,299,1164,463,202,120,478,611
50,Central Connecticut State,31,11,20,.355,-14.02,-6.71,5,13,5,7,5,12,2205,2367,,1260,754,1821,.414,201,612,.328,496,634,.782,332,1107,353,172,110,427,597
51,Central Florida NCAA,33,24,9,.727,13.37,5.58,13,5,15,2,5,5,2385,2128,,1325,819,1763,.465,229,628,.365,518,798,.649,315,1215,439,189,150,393,554
52,Central Michigan,35,23,12,.657,2.79,-0.34,10,8,13,4,7,6,2896,2690,,1425,991,2177,.455,305,822,.371,609,908,.671,419,1321,467,267,107,425,593
53,Charleston Southern,34,18,16,.529,-2.43,-4.19,9,7,12,4,4,11,2574,2369,,1370,926,2156,.429,324,945,.343,398,588,.677,407,1277,487,263,110,441,571
54,Charlotte,29,8,21,.276,-8.34,-0.89,5,13,5,9,3,9,1776,1992,,1160,598,1442,.415,191,615,.311,389,524,.742,199,892,288,138,101,418,490
55,Chattanooga,32,12,20,.375,-7.87,-0.76,7,11,8,6,4,11,2268,2376,,1285,833,1881,.443,290,795,.365,312,457,.683,278,1095,418,139,79,409,553
56,Chicago State,32,3,29,.094,-24.83,0.67,0,16,3,8,0,19,1970,2710,,1280,718,1752,.410,141,471,.299,393,581,.676,252,995,376,193,72,512,625
57,Cincinnati NCAA,35,28,7,.800,14.53,5.50,14,4,16,2,7,4,2510,2194,,1410,872,2018,.432,232,673,.345,534,758,.704,442,1264,466,214,155,365,563
58,Citadel,30,12,18,.400,-7.94,0.03,4,14,8,7,4,10,2553,2584,,1210,899,2011,.447,370,1076,.344,385,523,.736,322,1107,462,201,110,386,528
59,Clemson,34,20,14,.588,13.85,8.99,9,9,14,5,4,6,2339,2174,,1360,833,1857,.449,217,661,.328,456,623,.732,309,1204,410,223,154,450,552
60,Cleveland State,31,10,21,.323,-7.96,-1.52,5,13,8,9,2,12,2300,2437,,1250,799,1834,.436,303,820,.370,399,585,.682,303,1093,460,174,97,412,551
61,Coastal Carolina,34,17,17,.500,-0.50,-1.94,9,9,10,4,6,11,2641,2520,,1370,899,1986,.453,284,766,.371,559,778,.719,376,1256,451,214,78,472,691
62,Colgate NCAA,35,24,11,.686,1.23,-3.83,13,5,15,1,9,9,2648,2458,,1415,955,1995,.479,320,815,.393,418,563,.742,322,1240,541,213,121,456,547
63,College of Charleston,33,24,9,.727,2.36,-2.95,12,6,13,2,8,5,2453,2265,,1330,878,1818,.483,227,667,.340,470,615,.764,260,1060,387,216,76,347,486
64,Colorado State,32,12,20,.375,-0.11,1.41,7,11,8,9,3,8,2393,2406,,1285,866,1818,.476,259,722,.359,402,579,.694,256,1080,472,199,76,372,522
